"转债代码","转债名称","交易日期","开盘价","最高价","最低价","最新价","涨跌幅","5日涨跌幅","正股名称","正股最高价","正股最低价","正股最新价","正股涨跌幅","正股5日涨跌幅","成交量(手)","成交额(万)","年化波动率","正股年化波动率","股息率","转股价值","转股溢价率","理论转股溢价率","修正转股溢价率","纯债价值","纯债溢价率","期权价值","理论价值","理论偏离度","双低","剩余规模(亿)","剩余市值(亿)","换手率","市净率","市盈率_ttm","市销率_ttm","正股流通市值(亿)","正股总市值（亿）","资产负债率","转债市占比","上市天数","转股截止日","剩余年限","到期收益率(税前)","强赎触发比例","外部评级","三方评级","企业类型","地域","一级行业","二级行业","三级行业","转股溢价率_得分","收盘价_得分","赎回状态","总分","排名"
"123096.SZ","思创转债","2024-05-20","98.492","98.984","96.999","97.06","-0.02058526740665989","0.0163350787092873","思创医惠","3.19","2.9","2.93","-0.10122699386503053","0.0772058820298207","74489","7310.013413600001","0.22937386132363308","0.5785345715209163","0","82.07282913165267","0.1826081911262798","0.3980322973008079","-0.21542410617452812","66.30799465687112","0.4637752280439722","26.289350649573525","92.59734530644464","0.04597830922682222","115.32081911262799","5.237612","5.0836262072","0.14379525786625974","7.3318","","2.7373","25.869516450000003","26.54223665","0.777946682167377","0.19152968433803788","1177","2027-01-25","2.6876712328767125","0.09060396149314416","1.3","BB","9","民营企业","浙江","电子设备","电子设备制造","电子设备制造","431","520","0/15 | 30","951","1"
"123010.SZ","博世转债","2024-05-20","112.48","112.88","111.812","112.087","0.0017517047841202338","0.007777238327276059","博世科","5.34","5.21","5.25","0.00190839694656475","0.011560693677624467","31921","3579.977012","0.07499025136964264","0.4603834394052345","0","112.41970021413277","-0.0029594476190476504","0.1376694926037346","-0.14062894022278224","106.98850572522714","0.04765459840954356","14.957307645088935","121.94581337031607","-0.08795679579537397","111.79105523809524","3.927355","4.40205439885","0.08132514248200201","1.3331","","1.1934","20.39764634","26.50592868","0.7852423075714051","0.16607810471366588","2107","2024-07-04","0.12602739726027398","-0.26012953256875326","1.3","A","8-","地方国有企业","安徽","公用事业","环保","环保","530","360","0/15 | 30","890","2"
"113033.SH","利群转债","2024-05-20","112.455","112.472","111.58","111.689","-0.005856854210615325","-0.010638674795448111","利群股份","5.22","5.16","5.2","-0.003831417624520994","-0.0019193857911021794","68246","7638.8475","0.08338221021280562","0.28690100364066","0.019231","106.12244897959184","0.0524540384615384","0.17159954113950726","-0.11914550267796886","107.10248903028034","0.042823570313318626","21.167090332905005","128.26957936318536","-0.14845310964540248","116.93440384615383","17.997830044","20.10159639784316","0.038001198257167405","1.1097","193.0242","0.5746","44.1789739","44.1805339","0.7401312133597922","0.4549876296955107","1491","2026-03-31","1.8657534246575342","0.0005379824328579992","1.3","AA","8","民营企业","山东","商贸零售","零售","百货","505","370","0/15 | 30","875","3"
"128048.SZ","张行转债","2024-05-20","111","111.6","110.65","111.089","0.0008018018018018935","0.008982742964657175","张家港行","4.49","4.36","4.4","-0.011235955056179692","0.037735849192680915","46595.1","5176.2920557","0.06972042003307204","0.1669698604683064","0.045454","101.61662817551964","0.09321674999999985","0.20089823196351014","-0.1076814819635103","107.89674061953659","0.02958624479417682","6.0501198597141475","113.94686047925073","-0.025725863760144962","120.41067499999998","24.970134","27.73907215926","0.018660653196981656","0.631","5.2369","2.0612","91.18734755","95.46482321","0.9179803730821798","0.29056851756002955","2000","2024-11-11","0.4821917808219178","-0.038821152829799976","1.3","AA+","5","民营企业","江苏","金融","银行","股份制与城商行","478","383","0/15 | 30","861","4"
"113516.SH","苏农转债","2024-05-20","111.217","111.35","111.01","111.19","0.00008094908302669346","0.004980160704030734","苏农银行","5.23","5.11","5.14","-0.009633911368015502","0.01984126992533808","37262","4141.9476","0.036603199905543685","0.17782761559017443","0.033074","101.98412698412699","0.09026770428015563","0.1983318468235719","-0.10806414254341629","109.54226000647937","0.015042048552067255","4.5407170476051135","114.08297705408448","-0.026018320479220147","120.21677042801556","12.885900041600001","14.32783225625504","0.02890840376911705","0.5803","5.1511","2.2329","79.34774801","92.67796788","0.9237942023761366","0.15459804076419548","2101","2024-08-01","0.20273972602739726","-0.05237878576193058","1.3","AA+","5-","民营企业","江苏","金融","银行","股份制与城商行","480","379","0/15 | 30","859","5"
"123198.SZ","金埔转债","2024-05-20","98.45","100.249","98.26","99.793","0.013651738463570151","0.04102858342814475","金埔园林","9.29","8.83","9.16","0.02346368715083802","0.10228640225665275","70248","6967.8286314","0.3665261558375173","0.5104068412689221","0.007278","75.02047502047502","0.33021018558951987","0.5094124019799599","-0.17920221639043998","87.69961041891392","0.13789559067959023","28.716186503927418","116.41579692284134","-0.16657277487239908","132.814018558952","5.199364","5.18860131652","0.13429107781349695","1.3038","103.2797","1.4858","9.92948956","14.509908809999999","0.6449283404983175","0.3575902084887052","319","2029-06-07","5.054794520547945","0.039781588847595264","1.3","A+","8","民营企业","江苏","建筑","建筑施工","园林工程","334","509","0/15 | 30","843","6"
"110063.SH","鹰19转债","2024-05-20","102.753","103.296","102.676","103.234","0.005463948652518091","0.011671550235490269","山鹰国际","1.9","1.87","1.88","0","0.016216216242730175","32450","3343.3408","0.0842629453751375","0.23151235367454406","0","79.32489451476793","0.30140734042553174","0.4381971495772471","-0.13678980915171535","109.18087455934142","-0.05446809785453044","3.6867855159079195","112.86766007524933","-0.093318674809165","133.37473404255317","18.4441500223","19.040633834021182","0.017558978493805326","0.6358","15.6639","0.2835","84.04675977000001","84.04675977000001","0.7137432835171624","0.22654810115377733","1600","2025-12-12","1.5671232876712329","0.060203032614356285","1.3","AA+","7+","民营企业","安徽","轻工制造","造纸印刷","造纸","346","487","0/15 | 30","833","7"
"123207.SZ","冠中转债","2024-05-20","111.25","111.588","110.74","111.1","-0.00044984255510582827","-0.018551236703295726","冠中生态","9.97","9.77","9.86","-0.0010131712259371373","-0.09954337854497308","31373.6","3487.828413","0.7569286522948352","0.5942560041047944","0.005071","93.9047619047619","0.18311359026369178","0.2631162865163838","-0.08000269625269202","77.8122236681522","0.42779623512381604","48.08606268110113","125.89828634925334","-0.13319789693297346","129.41135902636918","3.998917","4.442796787","0.07850524298580754","1.6029","54.5497","4.0472","12.89605393","13.805583420000001","0.4725651074076061","0.3218115925882399","286","2029-07-20","5.1726027397260275","0.01718499973949856","1.3","A","8","民营企业","山东","公用事业","环保","环保","430","381","0/15 | 30","811","8"
"127049.SZ","希望转2","2024-05-20","109.045","112.92","109.045","112.81","0.03211344922232384","0.06185110947204886","新希望","10.58","9.97","10.52","0.059415911379657516","0.09926854805162666","255066.5","28498.1274371","0.09004674828899785","0.24974706699699548","0","99.24528301886792","0.13667870722433473","0.21827579089719143","-0.0815970836728567","102.20178871783536","0.10379672817128882","20.92307595845652","123.12486467629188","-0.09143572977831638","126.47787072243348","81.435443","91.8673232483","0.03102096200198949","2.4567","91700.3528","0.3631","474.57713108999997","478.2157444","0.740263205900658","0.19210434688544728","904","2027-11-01","3.4547945205479453","-0.005811502585639082","1.3","AAA","6-","民营企业","四川","农林牧渔","畜牧业","饲料","456","349","0/15 | 30","805","9"
"110092.SH","三房转债","2024-05-20","94.09","95.232","94.09","94.724","0.005882977593713479","0.011273860875802066","三房巷","2","1.94","1.94","-0.02020202020202022","0.031914893770258024","25365","2403.4966","0.13876457178158283","0.3073126617265866","0.077319","64.23841059602648","0.4745694845360826","0.7428288010577132","-0.2682593165216306","101.91758437129036","-0.07058236726926148","9.3814322388422","111.29901661013255","-0.17498222847570366","142.18094845360827","24.99981","23.6808200244","0.01014954970952657","1.2906","","0.3157","75.58911171999999","75.58911171999999","0.6586646982007897","0.3132834807229826","469","2029-01-05","4.635616438356164","0.04322209319094748","1.3","AA","7+","民营企业","江苏","基础化工","化学原料","其他化学原料","255","527","0/15 | 30","782","10"
"127015.SZ","希望转债","2024-05-20","110.192","113.8","110.002","113.751","0.03229817046609562","0.056154424829530925","新希望","10.58","9.97","10.52","0.059415911379657516","0.09926854805162666","78742.5","8872.955073199999","0.08712953339663866","0.24974706699699548","0","99.24528301886792","0.1461602661596959","0.21827579089719143","-0.07211552473749552","103.99465542478193","0.0938158267400071","13.715157949155278","117.70981337393721","-0.034802448980116196","128.3670266159696","9.494256","10.799811142560001","0.08215842810651912","2.4567","91700.3528","0.3631","474.57713108999997","478.2157444","0.740263205900658","0.022583554115538654","1568","2026-01-02","1.6246575342465754","-0.03399544807968905","1.3","AAA","6-","民营企业","四川","农林牧渔","畜牧业","饲料","450","332","0/15 | 30","782","11"
"127103.SZ","东南转债","2024-05-20","109.465","109.678","109.038","109.338","-0.004207650273224117","0.01615241641759879","东南网架","4.91","4.81","4.82","-0.020325203252032464","0.02991453016406953","42855.9","4684.9000045","0.2218658512476011","0.2878792221873986","0.020747","84.11867364746946","0.2998065145228215","0.3705394132369225","-0.07073289871410104","96.89506346495394","0.12841661989876862","20.807497703567552","117.70256116852148","-0.07650186731531106","139.31865145228215","20","21.8676","0.02142393314538404","0.8601","20.2805","0.4325","51.957082799999995","55.41063295","0.6581767321214534","0.39464627700124477","118","2030-01-02","5.627397260273972","0.006142887949003027","1.3","AA","8+","民营企业","浙江","建筑","钢结构","钢结构","347","420","未到转股期","767","12"
"113024.SH","核建转债","2024-05-20","109.5","110.5","109.5","110.064","0.004233576642335812","0.0047469510046207475","中国核建","8.02","7.87","7.89","-0.007547169811320864","-0.012515644437391171","25244","2777.865","0.09059210890649906","0.2545669861451624","0.010016","85.76086956521739","0.28338250950570343","0.34985123610893293","-0.0664687266032295","103.10615212834037","0.0674823735347907","3.9008300576577244","107.0069821859981","0.027774911088111476","138.40225095057033","29.953750064","32.96829547044096","0.008425867823499113","1.2271","11.2779","0.2175","230.59677043","238.14542173","0.8229304794766775","0.13843766229450813","1852","2025-04-07","0.8849315068493151","-0.05199133689627208","1.3","AAA","4+","中央国有企业","上海","建筑","建筑施工","专业工程","362","403","0/15 | 30","765","13"
